Country HQ,Evaluated how water could affect growth strategy?,Organization
Switzerland,Not evaluated,4
Malaysia,"Yes, evaluated over the next 5 years",1
Indonesia,Not evaluated,1
Portugal,Other,1
Greece,Not evaluated,1
Canada,Other,3
Mexico,"Yes, evaluated over the next 1 year",1
Taiwan,"Yes, evaluated over the next 1 year",5
India,Not evaluated,11
Spain,"Yes, evaluated over the next 5 years",4
Brazil,"Yes, evaluated over the next 1 year",1
Ireland,Other,1
Belgium,"Yes, evaluated over the next 10 years",1
Switzerland,"Yes, evaluated over the next 10 years",5
India,"Yes, evaluated over the next 10 years",3
USA,"Yes, evaluated over the next 1 year",17
Portugal,"Yes, evaluated over the next 5 years",1
Italy,"Yes, evaluated over the next 10 years",3
United Kingdom,"Yes, evaluated over the next 10 years",11
China,Not evaluated,7
Austria,Not evaluated,1
Canada,"Yes, evaluated over the next 5 years",3
South Africa,Not evaluated,4
Italy,Not evaluated,3
Sweden,Not evaluated,1
Korea,Not evaluated,2
South Korea,"Yes, evaluated over the next 5 years",1
Bermuda,"Yes, evaluated over the next 1 year",1
South Africa,"Yes, evaluated over the next 10 years",7
Luxembourg,Not evaluated,1
China,"Yes, evaluated over the next 10 years",1
United Kingdom,Not evaluated,11
Canada,"Yes, evaluated over the next 10 years",5
United Kingdom,"Yes, evaluated over the next 5 years",8
Egypt,"Yes, evaluated over the next 1 year",2
Sweden,"Yes, evaluated over the next 5 years",3
South Korea,Not evaluated,3
British Virgin Islands,Not evaluated,1
Ireland,Not evaluated,3
India,Other,2
China,"Yes, evaluated over the next 5 years",5
Austria,"Yes, evaluated over the next 5 years",1
Canada,Not evaluated,5
South Africa,"Yes, evaluated over the next 5 years",11
Portugal,Not evaluated,1
Indonesia,Other,1
Belgium,Other,1
Japan,"Yes, evaluated over the next 1 year",7
Spain,"Yes, evaluated over the next 10 years",3
United Kingdom,Other,4
United Arab Emirates,"Yes, evaluated over the next 5 years",2
Norway,"Yes, evaluated over the next 5 years",2
South Africa,Other,1
Turkey,"Yes, evaluated over the next 1 year",1
Austria,Other,1
China,Other,1
Paraguay,"Yes, evaluated over the next 5 years",1
India,"Yes, evaluated over the next 5 years",8
Spain,Not evaluated,7
Switzerland,"Yes, evaluated over the next 5 years",1
France,"Yes, evaluated over the next 1 year",2
Singapore,"Yes, evaluated over the next 1 year",1
Belgium,"Yes, evaluated over the next 5 years",1
Malaysia,Not evaluated,1
Colombia,"Yes, evaluated over the next 5 years",1
USA,Not evaluated,81
Japan,"Yes, evaluated over the next 5 years",9
Taiwan,"Yes, evaluated over the next 10 years",2
Israel,Not evaluated,1
Brazil,Not evaluated,5
India,"Yes, evaluated over the next 1 year",10
Taiwan,Not evaluated,9
Finland,Not evaluated,1
Philippines,"Yes, evaluated over the next 1 year",1
USA,"Yes, evaluated over the next 10 years",37
Mexico,Not evaluated,6
Chile,"Yes, evaluated over the next 10 years",1
Brazil,"Yes, evaluated over the next 10 years",2
Germany,"Yes, evaluated over the next 5 years",4
Israel,"Yes, evaluated over the next 10 years",1
France,"Yes, evaluated over the next 5 years",1
Switzerland,"Yes, evaluated over the next 1 year",2
United Kingdom,"Yes, evaluated over the next 1 year",4
Japan,Other,6
Netherlands,"Yes, evaluated over the next 5 years",2
Argentina,Not evaluated,1
Australia,Not evaluated,3
Italy,"Yes, evaluated over the next 1 year",1
South Africa,"Yes, evaluated over the next 1 year",7
China,"Yes, evaluated over the next 1 year",8
Russia,"Yes, evaluated over the next 5 years",1
Australia,"Yes, evaluated over the next 10 years",6
Bermuda,"Yes, evaluated over the next 10 years",1
France,Other,3
Germany,Other,1
Russia,Not evaluated,1
Canada,"Yes, evaluated over the next 1 year",1
Finland,Other,1
Netherlands,"Yes, evaluated over the next 10 years",2
Brazil,Other,1
South Korea,"Yes, evaluated over the next 1 year",1
Russia,"Yes, evaluated over the next 10 years",1
Denmark,"Yes, evaluated over the next 10 years",1
Australia,"Yes, evaluated over the next 5 years",2
Egypt,Not evaluated,1
Netherlands,Not evaluated,4
USA,Other,12
Hong Kong,"Yes, evaluated over the next 1 year",1
Germany,Not evaluated,10
Singapore,Not evaluated,2
France,Not evaluated,1
Japan,"Yes, evaluated over the next 10 years",7
Taiwan,"Yes, evaluated over the next 5 years",3
Spain,"Yes, evaluated over the next 1 year",3
Finland,"Yes, evaluated over the next 5 years",3
Mexico,"Yes, evaluated over the next 5 years",1
Turkey,Not evaluated,2
Thailand,"Yes, evaluated over the next 1 year",1
Australia,Other,3
France,"Yes, evaluated over the next 10 years",6
Germany,"Yes, evaluated over the next 10 years",3
Brazil,"Yes, evaluated over the next 5 years",3
Turkey,"Yes, evaluated over the next 10 years",1
Vietnam,Not evaluated,1
USA,"Yes, evaluated over the next 5 years",46
Japan,Not evaluated,19
